sex,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,is_recid,r_charge_degree,is_violent_recid,vr_charge_degree,v_score,r_score
1,2,1,0,0,0,0,2,0,0,0,0,0,0
1,1,2,0,0,0,0,0,-1,0,0,0,0,1
1,1,5,0,0,0,0,2,1,2,1,2,0,0
1,0,5,0,0,1,4,2,1,1,0,0,0,0
1,0,5,0,1,0,1,2,0,0,0,0,1,2
1,1,1,0,0,0,2,2,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0,0,0,0,0,0
1,1,2,0,0,0,14,2,1,2,0,0,0,1
1,1,1,0,0,0,3,2,0,0,0,0,0,0
0,1,2,0,0,0,0,1,0,0,0,0,0,0
1,0,2,0,0,1,0,2,0,0,0,0,2,2
0,1,2,0,0,0,0,2,0,0,0,0,0,1
1,0,2,0,0,0,1,2,1,1,1,2,1,0
1,1,2,0,0,0,0,2,0,0,0,0,0,0
1,0,5,0,0,0,3,1,1,1,0,0,0,1
0,1,2,0,0,0,0,1,0,0,0,0,0,0
1,0,2,0,0,0,0,1,0,0,0,0,1,0
1,1,5,0,0,0,0,2,0,0,0,0,0,0
0,2,2,0,0,0,1,2,1,2,0,0,0,0
1,1,5,0,0,0,7,2,1,1,0,0,0,0
1,1,3,0,0,0,0,1,0,0,0,0,0,0
1,1,5,0,0,0,3,2,0,0,0,0,2,2
1,1,2,0,0,0,6,2,1,2,1,2,0,1
1,1,2,0,0,0,5,2,1,2,0,0,0,0
1,2,5,0,0,0,13,2,1,2,0,0,0,1
1,0,5,0,0,0,1,2,1,1,0,0,2,2
1,1,2,0,0,0,0,1,1,1,0,0,0,0
0,0,2,0,0,0,0,2,0,0,0,0,1,0
1,0,3,0,0,0,1,2,1,1,0,0,1,0
1,1,2,0,0,0,1,2,0,0,0,0,0,0
1,1,2,0,0,0,1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0,0,0,0,0,0
0,2,5,0,0,0,0,2,0,0,0,0,1,2
